locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJDPLKEN_00047	CDS	1386				hypothetical protein
JJDPLKEN_00048	CDS	804	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
JJDPLKEN_00049	CDS	849				hypothetical protein
JJDPLKEN_00050	CDS	582				hypothetical protein
JJDPLKEN_00051	CDS	870				hypothetical protein
JJDPLKEN_00052	CDS	390	tagD_1	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
JJDPLKEN_00053	CDS	762				hypothetical protein
JJDPLKEN_00054	CDS	960				hypothetical protein
JJDPLKEN_00055	CDS	1356	hldE_1	2.7.7.70		Bifunctional protein HldE
JJDPLKEN_00056	CDS	1050				hypothetical protein
JJDPLKEN_00057	CDS	1893	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
JJDPLKEN_00058	CDS	1017				hypothetical protein
JJDPLKEN_00059	CDS	2007	glgB_1	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
JJDPLKEN_00060	CDS	381				hypothetical protein
JJDPLKEN_00061	CDS	420	sufE_1			Cysteine desulfuration protein SufE
JJDPLKEN_00062	CDS	957	argF_1	2.1.3.3	COG0078	Ornithine carbamoyltransferase
JJDPLKEN_00063	CDS	1689	atsA_1	3.1.6.1	COG3119	Arylsulfatase
JJDPLKEN_00064	CDS	1779	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
JJDPLKEN_00065	CDS	267	ptsH_1		COG1925	Phosphocarrier protein HPr
JJDPLKEN_00066	CDS	1023	hprK_1	2.7.11.-		HPr kinase/phosphorylase
JJDPLKEN_00067	CDS	1398	dapE_1	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
JJDPLKEN_00068	CDS	879	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JJDPLKEN_00069	CDS	591		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
JJDPLKEN_00070	CDS	1647				hypothetical protein
JJDPLKEN_00071	CDS	696			COG0325	Pyridoxal phosphate homeostasis protein
JJDPLKEN_00072	CDS	564				hypothetical protein
JJDPLKEN_00073	CDS	858				hypothetical protein
JJDPLKEN_00074	CDS	1518				hypothetical protein
JJDPLKEN_00075	CDS	891				hypothetical protein
JJDPLKEN_00076	CDS	378				hypothetical protein
JJDPLKEN_00077	CDS	3516				hypothetical protein
JJDPLKEN_00078	CDS	486	lrp_1		COG1522	Leucine-responsive regulatory protein
JJDPLKEN_00079	CDS	1170	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
JJDPLKEN_00080	CDS	780				hypothetical protein
JJDPLKEN_00081	CDS	663				hypothetical protein
JJDPLKEN_00082	CDS	1578	glyQS_1	6.1.1.14	COG0423	Glycine--tRNA ligase
JJDPLKEN_00083	CDS	831	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
JJDPLKEN_00084	CDS	2415				hypothetical protein
JJDPLKEN_00085	CDS	2217				hypothetical protein
JJDPLKEN_00086	CDS	987				hypothetical protein
JJDPLKEN_00087	CDS	615				hypothetical protein
JJDPLKEN_00088	CDS	891				hypothetical protein
JJDPLKEN_00089	CDS	984				hypothetical protein
JJDPLKEN_00090	CDS	1413	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
JJDPLKEN_00091	CDS	294	gatC_1	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
JJDPLKEN_00092	CDS	333				hypothetical protein
JJDPLKEN_00093	CDS	588				hypothetical protein
JJDPLKEN_00094	CDS	297				hypothetical protein
JJDPLKEN_00095	CDS	837				hypothetical protein
JJDPLKEN_00096	CDS	1212				hypothetical protein
JJDPLKEN_00097	CDS	1524				hypothetical protein
JJDPLKEN_00098	CDS	825				hypothetical protein
JJDPLKEN_00099	CDS	1020				hypothetical protein
JJDPLKEN_00100	CDS	765				hypothetical protein
JJDPLKEN_00101	CDS	180				hypothetical protein
JJDPLKEN_00102	tRNA	75				tRNA-Gly(gcc)
JJDPLKEN_00103	CDS	1182				hypothetical protein
JJDPLKEN_00104	CDS	807	lexA_1	3.4.21.88		LexA repressor
JJDPLKEN_00105	CDS	327				hypothetical protein
JJDPLKEN_00106	CDS	180				hypothetical protein
JJDPLKEN_00107	CDS	219				hypothetical protein
JJDPLKEN_00108	CDS	873				hypothetical protein
JJDPLKEN_00109	CDS	1206	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
JJDPLKEN_00110	CDS	996				hypothetical protein
JJDPLKEN_00111	CDS	837		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
JJDPLKEN_00112	CDS	1080			COG1073	putative protein
JJDPLKEN_00113	CDS	1119	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
JJDPLKEN_00114	CDS	1137				hypothetical protein
JJDPLKEN_00115	CDS	579				hypothetical protein
JJDPLKEN_00116	CDS	462				hypothetical protein
JJDPLKEN_00117	CDS	819				hypothetical protein
JJDPLKEN_00118	CDS	558	ywrO_1	1.6.99.-	COG2249	General stress protein 14
JJDPLKEN_00119	CDS	486				hypothetical protein
JJDPLKEN_00120	CDS	453				hypothetical protein
JJDPLKEN_00121	CDS	1479		3.2.1.98		Glucan 1,4-alpha-maltohexaosidase
JJDPLKEN_00122	CDS	1386	mepA_1			Multidrug export protein MepA
JJDPLKEN_00123	CDS	507				hypothetical protein
JJDPLKEN_00124	CDS	2187				hypothetical protein
JJDPLKEN_00125	CDS	951	menC_1	4.2.1.113		o-succinylbenzoate synthase
JJDPLKEN_00126	CDS	960	rmlD_1	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
JJDPLKEN_00127	CDS	1302	rlmI_1	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
JJDPLKEN_00128	CDS	2469				hypothetical protein
JJDPLKEN_00129	CDS	282				hypothetical protein
JJDPLKEN_00130	CDS	1185	rlmI_2	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
JJDPLKEN_00131	CDS	912	gamA_1	3.5.99.6	COG0363	putative glucosamine-6-phosphate deaminase 2
JJDPLKEN_00132	CDS	420				hypothetical protein
JJDPLKEN_00133	CDS	567				hypothetical protein
JJDPLKEN_00134	CDS	729	tlyA_1	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
JJDPLKEN_00135	CDS	564				hypothetical protein
JJDPLKEN_00136	CDS	699	yhhW_1	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
JJDPLKEN_00137	CDS	3162				hypothetical protein
JJDPLKEN_00138	CDS	627				hypothetical protein
JJDPLKEN_00139	CDS	816	fucA_1	4.1.2.17		L-fuculose phosphate aldolase
JJDPLKEN_00140	CDS	1425	fucK	2.7.1.51	COG1070	L-fuculokinase
JJDPLKEN_00141	CDS	297				hypothetical protein
JJDPLKEN_00142	CDS	1779	fucI_1	5.3.1.25	COG2407	L-fucose isomerase
JJDPLKEN_00143	CDS	1935				hypothetical protein
JJDPLKEN_00144	CDS	513				hypothetical protein
JJDPLKEN_00145	CDS	2025				hypothetical protein
JJDPLKEN_00146	CDS	651	algU_1		COG1595	RNA polymerase sigma-H factor
JJDPLKEN_00147	CDS	486				hypothetical protein
JJDPLKEN_00148	CDS	276	ricR_1		COG1937	Copper-sensing transcriptional repressor RicR
JJDPLKEN_00149	CDS	1878	cadA_1	3.6.3.3		Cadmium-transporting ATPase
JJDPLKEN_00150	CDS	1824	thiC_1	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
JJDPLKEN_00151	CDS	945				hypothetical protein
JJDPLKEN_00152	CDS	615				hypothetical protein
JJDPLKEN_00153	CDS	672				hypothetical protein
JJDPLKEN_00154	CDS	966				hypothetical protein
JJDPLKEN_00155	CDS	2331				hypothetical protein
JJDPLKEN_00156	CDS	1317	dgt_1	3.1.5.1		Deoxyguanosinetriphosphate triphosphohydrolase
JJDPLKEN_00157	CDS	2118	ftsP			Cell division protein FtsP
JJDPLKEN_00158	CDS	918	bioP		COG0697	Biotin transporter
JJDPLKEN_00159	CDS	933				hypothetical protein
JJDPLKEN_00160	tRNA	75				tRNA-Val(cac)
JJDPLKEN_00161	CDS	1020	alr1_1	5.1.1.1	COG0787	Alanine racemase 1
JJDPLKEN_00162	CDS	1008	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
JJDPLKEN_00163	CDS	978	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
JJDPLKEN_00164	CDS	2250				hypothetical protein
JJDPLKEN_00165	CDS	1608				hypothetical protein
JJDPLKEN_00166	CDS	1389				hypothetical protein
JJDPLKEN_00167	CDS	837				hypothetical protein
JJDPLKEN_00168	CDS	876				hypothetical protein
JJDPLKEN_00169	CDS	918				hypothetical protein
JJDPLKEN_00170	CDS	1668	fhs_1	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
JJDPLKEN_00171	CDS	600				hypothetical protein
JJDPLKEN_00172	CDS	1353	purD_1	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
JJDPLKEN_00173	CDS	501	ssb_1			Single-stranded DNA-binding protein
JJDPLKEN_00174	CDS	1218				hypothetical protein
JJDPLKEN_00175	CDS	633	tolQ_1			Tol-Pal system protein TolQ
JJDPLKEN_00176	CDS	393				hypothetical protein
JJDPLKEN_00177	CDS	549	def_1	3.5.1.88	COG0242	Peptide deformylase
JJDPLKEN_00178	CDS	1188				hypothetical protein
JJDPLKEN_00179	CDS	1299	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JJDPLKEN_00180	CDS	2397				hypothetical protein
JJDPLKEN_00181	CDS	1014	menF_1	5.4.4.2		Isochorismate synthase MenF
JJDPLKEN_00182	CDS	1347				hypothetical protein
JJDPLKEN_00183	CDS	561				hypothetical protein
JJDPLKEN_00184	CDS	663				hypothetical protein
JJDPLKEN_00185	CDS	1233				hypothetical protein
JJDPLKEN_00186	CDS	2328				hypothetical protein
JJDPLKEN_00187	CDS	573				hypothetical protein
JJDPLKEN_00188	CDS	234				hypothetical protein
JJDPLKEN_00189	CDS	1122	wecH_1	2.3.1.-		O-acetyltransferase WecH
JJDPLKEN_00190	CDS	1248	icd_1	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
JJDPLKEN_00191	CDS	693				hypothetical protein
JJDPLKEN_00192	CDS	288				hypothetical protein
JJDPLKEN_00193	CDS	1371		3.1.-.-	COG1236	Ribonuclease
JJDPLKEN_00194	CDS	621	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
JJDPLKEN_00195	CDS	672	queC_1	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
JJDPLKEN_00196	CDS	411	queF_1	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
JJDPLKEN_00197	CDS	2436				hypothetical protein
JJDPLKEN_00198	CDS	1359	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
JJDPLKEN_00199	CDS	1149	tatC_1			Sec-independent protein translocase protein TatC
JJDPLKEN_00200	CDS	837	uppP_1	3.6.1.27		Undecaprenyl-diphosphatase
JJDPLKEN_00201	CDS	870				hypothetical protein
JJDPLKEN_00202	CDS	834				hypothetical protein
JJDPLKEN_00203	CDS	354				hypothetical protein
JJDPLKEN_00204	CDS	1308	aroA_1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
JJDPLKEN_00205	CDS	1278	murA_1	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
JJDPLKEN_00206	CDS	270	hupB_1		COG0776	DNA-binding protein HU-beta
JJDPLKEN_00207	CDS	1086	aroC_1	4.2.3.5	COG0082	Chorismate synthase
JJDPLKEN_00208	CDS	894				hypothetical protein
JJDPLKEN_00209	CDS	435	cysJ_1	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
JJDPLKEN_00210	CDS	540				hypothetical protein
JJDPLKEN_00211	CDS	858	ypbG_1		COG1408	putative protein YpbG
JJDPLKEN_00212	CDS	693				hypothetical protein
JJDPLKEN_00213	CDS	1008				hypothetical protein
JJDPLKEN_00214	CDS	591				hypothetical protein
JJDPLKEN_00215	CDS	1155				hypothetical protein
JJDPLKEN_00216	CDS	888	xerD_1			Tyrosine recombinase XerD
JJDPLKEN_00217	CDS	1053				hypothetical protein
JJDPLKEN_00218	CDS	1044				hypothetical protein
JJDPLKEN_00219	CDS	1281				hypothetical protein
JJDPLKEN_00220	CDS	1212	gbsB	1.1.1.-	COG1454	Choline dehydrogenase
JJDPLKEN_00221	CDS	369	crcB_1		COG0239	Putative fluoride ion transporter CrcB
JJDPLKEN_00222	CDS	963	RBKS_1	2.7.1.15		Ribokinase
JJDPLKEN_00223	CDS	1317	lpxC_1	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
JJDPLKEN_00224	CDS	912	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
JJDPLKEN_00225	CDS	750				hypothetical protein
JJDPLKEN_00226	CDS	1890	lnt_1	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
JJDPLKEN_00227	CDS	234				hypothetical protein
JJDPLKEN_00228	CDS	444				hypothetical protein
JJDPLKEN_00229	CDS	1995				hypothetical protein
JJDPLKEN_00230	CDS	957				hypothetical protein
JJDPLKEN_00231	CDS	1809	ccsA_1			Cytochrome c biogenesis protein CcsA
JJDPLKEN_00232	CDS	765				hypothetical protein
JJDPLKEN_00233	CDS	924	yclQ_1		COG4607	Petrobactin-binding protein YclQ
JJDPLKEN_00234	CDS	759	yclP_1	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
JJDPLKEN_00235	CDS	1011	yclO_1		COG4605	Petrobactin import system permease protein YclO
JJDPLKEN_00236	CDS	966	yclN_1		COG4606	Petrobactin import system permease protein YclN
JJDPLKEN_00237	CDS	1089				hypothetical protein
JJDPLKEN_00238	CDS	1659				hypothetical protein
JJDPLKEN_00239	CDS	1089	irpA		COG3489	Iron-regulated protein A
JJDPLKEN_00240	CDS	600	pat_1	2.3.1.183	COG1247	Phosphinothricin N-acetyltransferase
JJDPLKEN_00241	CDS	432				hypothetical protein
JJDPLKEN_00242	CDS	543	hpt_1	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
JJDPLKEN_00243	CDS	594				hypothetical protein
JJDPLKEN_00244	CDS	576				hypothetical protein
JJDPLKEN_00245	CDS	2838	polA_1	2.7.7.7	COG0258	DNA polymerase I
JJDPLKEN_00246	CDS	1113				hypothetical protein
JJDPLKEN_00247	CDS	456				hypothetical protein
JJDPLKEN_00248	CDS	1455	purB_1	4.3.2.2	COG0015	Adenylosuccinate lyase
JJDPLKEN_00249	CDS	1254	pepT_1	3.4.11.4	COG2195	Peptidase T
JJDPLKEN_00250	CDS	2754				hypothetical protein
JJDPLKEN_00251	CDS	867	garR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
JJDPLKEN_00252	CDS	1557				hypothetical protein
JJDPLKEN_00253	CDS	918	nanA_1	4.1.3.3	COG0329	N-acetylneuraminate lyase
JJDPLKEN_00254	CDS	1182	ce_1	5.1.3.11		Cellobiose 2-epimerase
JJDPLKEN_00255	CDS	615				hypothetical protein
JJDPLKEN_00256	CDS	1017	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
JJDPLKEN_00257	CDS	618	trpG_1	4.1.3.27	COG0512	Anthranilate synthase component 2
JJDPLKEN_00258	CDS	1257		1.-.-.-		NADH oxidase
JJDPLKEN_00259	CDS	705				hypothetical protein
JJDPLKEN_00260	CDS	492				hypothetical protein
JJDPLKEN_00261	CDS	717				hypothetical protein
JJDPLKEN_00262	CDS	525	ybaK_1	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
JJDPLKEN_00263	CDS	1545	cmk_1	2.7.4.25		Cytidylate kinase
JJDPLKEN_00264	CDS	180				hypothetical protein
JJDPLKEN_00265	CDS	129				hypothetical protein
JJDPLKEN_00266	tRNA	76				tRNA-Ala(ggc)
JJDPLKEN_00267	CDS	261				hypothetical protein
JJDPLKEN_00268	CDS	687				hypothetical protein
JJDPLKEN_00269	CDS	3762	metH_1	2.1.1.13	COG0646	Methionine synthase
JJDPLKEN_00270	CDS	777	yjjP_1		COG2966	Inner membrane protein YjjP
JJDPLKEN_00271	CDS	504				hypothetical protein
JJDPLKEN_00272	tRNA	75				tRNA-Gln(ttg)
JJDPLKEN_00273	CDS	1410	hom_1	1.1.1.3	COG0460	Homoserine dehydrogenase
JJDPLKEN_00274	CDS	1218		2.7.2.4	COG0527	Aspartate kinase
JJDPLKEN_00275	CDS	510				hypothetical protein
JJDPLKEN_00276	CDS	720				hypothetical protein
JJDPLKEN_00277	CDS	1416				hypothetical protein
JJDPLKEN_00278	CDS	3600	nrdJ	1.17.4.1	COG0209	Vitamin B12-dependent ribonucleotide reductase
JJDPLKEN_00279	CDS	1014	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
JJDPLKEN_00280	CDS	1026	mutY_1	3.2.2.31	COG1194	Adenine DNA glycosylase
JJDPLKEN_00281	CDS	582	aat_1	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
JJDPLKEN_00282	CDS	2745	ppdK_1	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
JJDPLKEN_00283	CDS	1548	pgi_1	5.3.1.9		Glucose-6-phosphate isomerase
JJDPLKEN_00284	CDS	1089				hypothetical protein
JJDPLKEN_00285	CDS	996	rlmL_1	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
JJDPLKEN_00286	CDS	684				hypothetical protein
JJDPLKEN_00287	CDS	93				hypothetical protein
JJDPLKEN_00288	CDS	2145	mutB_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
JJDPLKEN_00289	CDS	2055	scpA_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
JJDPLKEN_00290	CDS	2631				hypothetical protein
JJDPLKEN_00291	CDS	654				hypothetical protein
JJDPLKEN_00292	CDS	1002				hypothetical protein
JJDPLKEN_00293	CDS	1443				hypothetical protein
JJDPLKEN_00294	CDS	1428				hypothetical protein
JJDPLKEN_00295	CDS	807	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
JJDPLKEN_00296	CDS	663	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
JJDPLKEN_00297	CDS	927				hypothetical protein
JJDPLKEN_00298	CDS	948				hypothetical protein
JJDPLKEN_00299	CDS	1050	prkC_1	2.7.11.1		Serine/threonine-protein kinase PrkC
JJDPLKEN_00300	CDS	1464	tpl	4.1.99.2	COG3033	Tyrosine phenol-lyase
JJDPLKEN_00301	CDS	594				hypothetical protein
JJDPLKEN_00302	CDS	1023				hypothetical protein
JJDPLKEN_00303	CDS	2520	pheT_1	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
JJDPLKEN_00304	CDS	1026	pheS_1	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
JJDPLKEN_00305	CDS	1185	yycB_1		COG2807	putative transporter YycB
JJDPLKEN_00306	CDS	2040				hypothetical protein
JJDPLKEN_00307	CDS	1842	htpG_1		COG0326	Chaperone protein HtpG
JJDPLKEN_00308	CDS	810				hypothetical protein
JJDPLKEN_00309	CDS	1107	alr_1	5.1.1.1		Alanine racemase
JJDPLKEN_00310	CDS	444	cymR_1			HTH-type transcriptional regulator CymR
JJDPLKEN_00311	CDS	1287		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
JJDPLKEN_00312	CDS	930	cysK1_1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
JJDPLKEN_00313	CDS	615	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
JJDPLKEN_00314	CDS	816	thiM_1	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
JJDPLKEN_00315	CDS	486				hypothetical protein
JJDPLKEN_00316	tRNA	75				tRNA-Gln(ctg)
JJDPLKEN_00317	CDS	1482	exoI_1	3.2.1.52	COG3525	Beta-hexosaminidase
JJDPLKEN_00318	CDS	1584				hypothetical protein
JJDPLKEN_00319	CDS	1020	argK	3.6.5.-	COG1703	GTPase ArgK
JJDPLKEN_00320	CDS	477	rppH_1	3.6.1.-	COG0494	RNA pyrophosphohydrolase
JJDPLKEN_00321	CDS	1464				hypothetical protein
JJDPLKEN_00322	CDS	522				hypothetical protein
JJDPLKEN_00323	CDS	504	ruvC_1	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
JJDPLKEN_00324	CDS	1203	rhlE_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
JJDPLKEN_00325	CDS	702		3.-.-.-		putative protein
JJDPLKEN_00326	CDS	1032	pyrC_1	3.5.2.3	COG0418	Dihydroorotase
JJDPLKEN_00327	tRNA	78				tRNA-Asp(gtc)
JJDPLKEN_00328	CDS	471				hypothetical protein
JJDPLKEN_00329	CDS	1137	bepF_1			Efflux pump periplasmic linker BepF
JJDPLKEN_00330	CDS	3108	bepG			Efflux pump membrane transporter BepG
JJDPLKEN_00331	CDS	444	folA_1	1.5.1.3	COG0262	Dihydrofolate reductase
JJDPLKEN_00332	CDS	816	thyA_1	2.1.1.45	COG0207	Thymidylate synthase
JJDPLKEN_00333	CDS	1455	ywiE_1	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
JJDPLKEN_00334	CDS	1524	oadA_1	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
JJDPLKEN_00335	CDS	705				hypothetical protein
JJDPLKEN_00336	CDS	357				hypothetical protein
JJDPLKEN_00337	CDS	1377	norM_1		COG0534	Multidrug resistance protein NorM
JJDPLKEN_00338	CDS	1077	apbC_1		COG0489	Iron-sulfur cluster carrier protein
JJDPLKEN_00339	CDS	213				hypothetical protein
JJDPLKEN_00340	CDS	381				hypothetical protein
JJDPLKEN_00341	CDS	1635	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
JJDPLKEN_00342	CDS	2172	prlC_1	3.4.24.70	COG0339	Oligopeptidase A
JJDPLKEN_00343	CDS	1260	mdtA_1			Multidrug resistance protein MdtA
JJDPLKEN_00344	CDS	3216	bepE_1			Efflux pump membrane transporter BepE
JJDPLKEN_00345	CDS	1434	oprM_1		COG1538	Outer membrane protein OprM
JJDPLKEN_00346	CDS	756				hypothetical protein
JJDPLKEN_00347	CDS	3000				hypothetical protein
JJDPLKEN_00348	CDS	621				hypothetical protein
JJDPLKEN_00349	CDS	540				hypothetical protein
JJDPLKEN_00350	CDS	474				hypothetical protein
JJDPLKEN_00351	CDS	1791	clcB_1			Voltage-gated ClC-type chloride channel ClcB
JJDPLKEN_00352	CDS	1011				hypothetical protein
JJDPLKEN_00353	CDS	1356	gdhA_1	1.4.1.3		NAD(P)-specific glutamate dehydrogenase
JJDPLKEN_00354	CDS	414				hypothetical protein
JJDPLKEN_00355	CDS	1131	lpxB_1	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
JJDPLKEN_00356	CDS	675				hypothetical protein
JJDPLKEN_00357	CDS	516				hypothetical protein
JJDPLKEN_00358	CDS	345				hypothetical protein
JJDPLKEN_00359	CDS	372				hypothetical protein
JJDPLKEN_00360	CDS	504	dsbH	1.8.-.-	COG0526	Disulfide bond reductase DsbH
JJDPLKEN_00361	tRNA	75				tRNA-Val(gac)
JJDPLKEN_00362	CDS	882				hypothetical protein
JJDPLKEN_00363	CDS	282				hypothetical protein
JJDPLKEN_00364	CDS	1635				hypothetical protein
JJDPLKEN_00365	CDS	216				hypothetical protein
JJDPLKEN_00366	CDS	621				hypothetical protein
JJDPLKEN_00367	CDS	294				hypothetical protein
JJDPLKEN_00368	CDS	258				hypothetical protein
	repeat_region	1307				
JJDPLKEN_00369	CDS	291	cas2_1	3.1.-.-		CRISPR-associated endoribonuclease Cas2
JJDPLKEN_00370	CDS	1020	cas1_1	3.1.-.-		CRISPR-associated endonuclease Cas1
JJDPLKEN_00371	CDS	669				hypothetical protein
JJDPLKEN_00372	CDS	2472				hypothetical protein
JJDPLKEN_00373	CDS	696	cas5d_1	3.1.-.-		CRISPR pre-crRNA endoribonuclease Cas5d
JJDPLKEN_00374	CDS	1992				hypothetical protein
JJDPLKEN_00375	CDS	825				hypothetical protein
	repeat_region	485				
