locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAAOPJAA_00113	CDS	1119	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
KAAOPJAA_00114	CDS	1137				hypothetical protein
KAAOPJAA_00115	CDS	579				hypothetical protein
KAAOPJAA_00116	CDS	462				hypothetical protein
KAAOPJAA_00117	CDS	819				hypothetical protein
KAAOPJAA_00118	CDS	558	ywrO_1	1.6.99.-	COG2249	General stress protein 14
KAAOPJAA_00119	CDS	486				hypothetical protein
KAAOPJAA_00120	CDS	453				hypothetical protein
KAAOPJAA_00121	CDS	1479		3.2.1.98		Glucan 1,4-alpha-maltohexaosidase
KAAOPJAA_00122	CDS	1386	mepA_1			Multidrug export protein MepA
KAAOPJAA_00123	CDS	507				hypothetical protein
KAAOPJAA_00124	CDS	2187				hypothetical protein
KAAOPJAA_00125	CDS	951	menC_1	4.2.1.113		o-succinylbenzoate synthase
KAAOPJAA_00126	CDS	960	rmlD_1	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
KAAOPJAA_00127	CDS	1302	rlmI_1	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
KAAOPJAA_00128	CDS	2469				hypothetical protein
KAAOPJAA_00129	CDS	282				hypothetical protein
KAAOPJAA_00130	CDS	1185	rlmI_2	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
KAAOPJAA_00131	CDS	912	gamA_1	3.5.99.6	COG0363	putative glucosamine-6-phosphate deaminase 2
KAAOPJAA_00132	CDS	420				hypothetical protein
KAAOPJAA_00133	CDS	567				hypothetical protein
KAAOPJAA_00134	CDS	729	tlyA_1	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
KAAOPJAA_00135	CDS	564				hypothetical protein
KAAOPJAA_00136	CDS	699	yhhW_1	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
KAAOPJAA_00137	CDS	3162				hypothetical protein
KAAOPJAA_00138	CDS	627				hypothetical protein
KAAOPJAA_00139	CDS	816	fucA_1	4.1.2.17		L-fuculose phosphate aldolase
KAAOPJAA_00140	CDS	1425	fucK	2.7.1.51	COG1070	L-fuculokinase
KAAOPJAA_00141	CDS	297				hypothetical protein
KAAOPJAA_00142	CDS	1779	fucI_1	5.3.1.25	COG2407	L-fucose isomerase
KAAOPJAA_00143	CDS	1935				hypothetical protein
KAAOPJAA_00144	CDS	513				hypothetical protein
KAAOPJAA_00145	CDS	2025				hypothetical protein
KAAOPJAA_00146	CDS	651	algU_1		COG1595	RNA polymerase sigma-H factor
KAAOPJAA_00147	CDS	486				hypothetical protein
KAAOPJAA_00148	CDS	276	ricR_1		COG1937	Copper-sensing transcriptional repressor RicR
KAAOPJAA_00149	CDS	1878	cadA_1	3.6.3.3		Cadmium-transporting ATPase
KAAOPJAA_00150	CDS	1824	thiC_1	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
KAAOPJAA_00151	CDS	945				hypothetical protein
KAAOPJAA_00152	CDS	615				hypothetical protein
KAAOPJAA_00153	CDS	672				hypothetical protein
KAAOPJAA_00154	CDS	966				hypothetical protein
KAAOPJAA_00155	CDS	2331				hypothetical protein
KAAOPJAA_00156	CDS	1317	dgt_1	3.1.5.1		Deoxyguanosinetriphosphate triphosphohydrolase
KAAOPJAA_00157	CDS	2118	ftsP			Cell division protein FtsP
KAAOPJAA_00158	CDS	918	bioP		COG0697	Biotin transporter
KAAOPJAA_00159	CDS	933				hypothetical protein
KAAOPJAA_00160	tRNA	75				tRNA-Val(cac)
KAAOPJAA_00161	CDS	1020	alr1_1	5.1.1.1	COG0787	Alanine racemase 1
KAAOPJAA_00162	CDS	1008	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
KAAOPJAA_00163	CDS	978	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
KAAOPJAA_00164	CDS	2250				hypothetical protein
KAAOPJAA_00165	CDS	1608				hypothetical protein
KAAOPJAA_00166	CDS	1389				hypothetical protein
KAAOPJAA_00167	CDS	837				hypothetical protein
KAAOPJAA_00168	CDS	876				hypothetical protein
KAAOPJAA_00169	CDS	918				hypothetical protein
KAAOPJAA_00170	CDS	1668	fhs_1	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
KAAOPJAA_00171	CDS	600				hypothetical protein
KAAOPJAA_00172	CDS	1353	purD_1	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
KAAOPJAA_00173	CDS	501	ssb_1			Single-stranded DNA-binding protein
KAAOPJAA_00174	CDS	1218				hypothetical protein
KAAOPJAA_00175	CDS	633	tolQ_1			Tol-Pal system protein TolQ
KAAOPJAA_00176	CDS	393				hypothetical protein
KAAOPJAA_00177	CDS	549	def_1	3.5.1.88	COG0242	Peptide deformylase
KAAOPJAA_00178	CDS	1188				hypothetical protein
KAAOPJAA_00179	CDS	1299	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KAAOPJAA_00180	CDS	2397				hypothetical protein
KAAOPJAA_00181	CDS	1014	menF_1	5.4.4.2		Isochorismate synthase MenF
KAAOPJAA_00182	CDS	1347				hypothetical protein
KAAOPJAA_00183	CDS	561				hypothetical protein
KAAOPJAA_00184	CDS	663				hypothetical protein
KAAOPJAA_00185	CDS	1233				hypothetical protein
KAAOPJAA_00186	CDS	2328				hypothetical protein
KAAOPJAA_00187	CDS	573				hypothetical protein
KAAOPJAA_00188	CDS	234				hypothetical protein
KAAOPJAA_00189	CDS	1122	wecH_1	2.3.1.-		O-acetyltransferase WecH
KAAOPJAA_00190	CDS	1248	icd_1	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
KAAOPJAA_00191	CDS	693				hypothetical protein
KAAOPJAA_00192	CDS	288				hypothetical protein
KAAOPJAA_00193	CDS	1371		3.1.-.-	COG1236	Ribonuclease
KAAOPJAA_00194	CDS	621	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
KAAOPJAA_00195	CDS	672	queC_1	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
KAAOPJAA_00196	CDS	411	queF_1	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
KAAOPJAA_00197	CDS	2436				hypothetical protein
KAAOPJAA_00198	CDS	1359	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
KAAOPJAA_00199	CDS	1149	tatC_1			Sec-independent protein translocase protein TatC
KAAOPJAA_00200	CDS	837	uppP_1	3.6.1.27		Undecaprenyl-diphosphatase
KAAOPJAA_00201	CDS	870				hypothetical protein
KAAOPJAA_00202	CDS	834				hypothetical protein
KAAOPJAA_00203	CDS	354				hypothetical protein
KAAOPJAA_00204	CDS	1308	aroA_1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
KAAOPJAA_00205	CDS	1278	murA_1	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
KAAOPJAA_00206	CDS	270	hupB_1		COG0776	DNA-binding protein HU-beta
KAAOPJAA_00207	CDS	1086	aroC_1	4.2.3.5	COG0082	Chorismate synthase
KAAOPJAA_00208	CDS	894				hypothetical protein
KAAOPJAA_00209	CDS	435	cysJ_1	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
KAAOPJAA_00210	CDS	540				hypothetical protein
KAAOPJAA_00211	CDS	858	ypbG_1		COG1408	putative protein YpbG
KAAOPJAA_00212	CDS	693				hypothetical protein
KAAOPJAA_00213	CDS	1008				hypothetical protein
KAAOPJAA_00214	CDS	591				hypothetical protein
KAAOPJAA_00215	CDS	1155				hypothetical protein
KAAOPJAA_00216	CDS	888	xerD_1			Tyrosine recombinase XerD
KAAOPJAA_00217	CDS	1053				hypothetical protein
KAAOPJAA_00218	CDS	1044				hypothetical protein
KAAOPJAA_00219	CDS	1281				hypothetical protein
KAAOPJAA_00220	CDS	1212	gbsB	1.1.1.-	COG1454	Choline dehydrogenase
KAAOPJAA_00221	CDS	369	crcB_1		COG0239	Putative fluoride ion transporter CrcB
KAAOPJAA_00222	CDS	963	RBKS_1	2.7.1.15		Ribokinase
KAAOPJAA_00223	CDS	1317	lpxC_1	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
KAAOPJAA_00224	CDS	912	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
KAAOPJAA_00225	CDS	750				hypothetical protein
KAAOPJAA_00226	CDS	1890	lnt_1	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
KAAOPJAA_00227	CDS	234				hypothetical protein
KAAOPJAA_00228	CDS	444				hypothetical protein
KAAOPJAA_00229	CDS	1995				hypothetical protein
KAAOPJAA_00230	CDS	957				hypothetical protein
KAAOPJAA_00231	CDS	1809	ccsA_1			Cytochrome c biogenesis protein CcsA
KAAOPJAA_00232	CDS	765				hypothetical protein
KAAOPJAA_00233	CDS	924	yclQ_1		COG4607	Petrobactin-binding protein YclQ
KAAOPJAA_00234	CDS	759	yclP_1	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
KAAOPJAA_00235	CDS	1011	yclO_1		COG4605	Petrobactin import system permease protein YclO
KAAOPJAA_00236	CDS	966	yclN_1		COG4606	Petrobactin import system permease protein YclN
KAAOPJAA_00237	CDS	1089				hypothetical protein
KAAOPJAA_00238	CDS	1659				hypothetical protein
KAAOPJAA_00239	CDS	1089	irpA		COG3489	Iron-regulated protein A
KAAOPJAA_00240	CDS	600	pat_1	2.3.1.183	COG1247	Phosphinothricin N-acetyltransferase
KAAOPJAA_00241	CDS	432				hypothetical protein
KAAOPJAA_00242	CDS	543	hpt_1	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
KAAOPJAA_00243	CDS	594				hypothetical protein
KAAOPJAA_00244	CDS	576				hypothetical protein
KAAOPJAA_00245	CDS	2838	polA_1	2.7.7.7	COG0258	DNA polymerase I
KAAOPJAA_00246	CDS	1113				hypothetical protein
KAAOPJAA_00247	CDS	456				hypothetical protein
KAAOPJAA_00248	CDS	1455	purB_1	4.3.2.2	COG0015	Adenylosuccinate lyase
KAAOPJAA_00249	CDS	1254	pepT_1	3.4.11.4	COG2195	Peptidase T
KAAOPJAA_00250	CDS	2754				hypothetical protein
KAAOPJAA_00251	CDS	867	garR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
KAAOPJAA_00252	CDS	1557				hypothetical protein
KAAOPJAA_00253	CDS	918	nanA_1	4.1.3.3	COG0329	N-acetylneuraminate lyase
KAAOPJAA_00254	CDS	1182	ce_1	5.1.3.11		Cellobiose 2-epimerase
KAAOPJAA_00255	CDS	615				hypothetical protein
KAAOPJAA_00256	CDS	1017	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
KAAOPJAA_00257	CDS	618	trpG_1	4.1.3.27	COG0512	Anthranilate synthase component 2
KAAOPJAA_00258	CDS	1257		1.-.-.-		NADH oxidase
KAAOPJAA_00259	CDS	705				hypothetical protein
KAAOPJAA_00260	CDS	492				hypothetical protein
KAAOPJAA_00261	CDS	717				hypothetical protein
KAAOPJAA_00262	CDS	525	ybaK_1	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
KAAOPJAA_00263	CDS	1545	cmk_1	2.7.4.25		Cytidylate kinase
KAAOPJAA_00264	CDS	180				hypothetical protein
KAAOPJAA_00265	CDS	129				hypothetical protein
KAAOPJAA_00266	tRNA	76				tRNA-Ala(ggc)
KAAOPJAA_00267	CDS	261				hypothetical protein
KAAOPJAA_00268	CDS	687				hypothetical protein
KAAOPJAA_00269	CDS	3762	metH_1	2.1.1.13	COG0646	Methionine synthase
KAAOPJAA_00270	CDS	777	yjjP_1		COG2966	Inner membrane protein YjjP
KAAOPJAA_00271	CDS	504				hypothetical protein
KAAOPJAA_00272	tRNA	75				tRNA-Gln(ttg)
KAAOPJAA_00273	CDS	1410	hom_1	1.1.1.3	COG0460	Homoserine dehydrogenase
KAAOPJAA_00274	CDS	1218		2.7.2.4	COG0527	Aspartate kinase
KAAOPJAA_00275	CDS	510				hypothetical protein
KAAOPJAA_00276	CDS	720				hypothetical protein
KAAOPJAA_00277	CDS	1416				hypothetical protein
KAAOPJAA_00278	CDS	3600	nrdJ	1.17.4.1	COG0209	Vitamin B12-dependent ribonucleotide reductase
KAAOPJAA_00279	CDS	1014	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
KAAOPJAA_00280	CDS	1026	mutY_1	3.2.2.31	COG1194	Adenine DNA glycosylase
KAAOPJAA_00281	CDS	582	aat_1	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
KAAOPJAA_00282	CDS	2745	ppdK_1	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
KAAOPJAA_00283	CDS	1548	pgi_1	5.3.1.9		Glucose-6-phosphate isomerase
KAAOPJAA_00284	CDS	1089				hypothetical protein
KAAOPJAA_00285	CDS	996	rlmL_1	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
KAAOPJAA_00286	CDS	684				hypothetical protein
KAAOPJAA_00287	CDS	93				hypothetical protein
KAAOPJAA_00288	CDS	2145	mutB_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
KAAOPJAA_00289	CDS	2055	scpA_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
KAAOPJAA_00290	CDS	2631				hypothetical protein
KAAOPJAA_00291	CDS	654				hypothetical protein
KAAOPJAA_00292	CDS	1002				hypothetical protein
KAAOPJAA_00293	CDS	1443				hypothetical protein
KAAOPJAA_00294	CDS	1428				hypothetical protein
KAAOPJAA_00295	CDS	807	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
KAAOPJAA_00296	CDS	663	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
KAAOPJAA_00297	CDS	927				hypothetical protein
KAAOPJAA_00298	CDS	948				hypothetical protein
KAAOPJAA_00299	CDS	1050	prkC_1	2.7.11.1		Serine/threonine-protein kinase PrkC
KAAOPJAA_00300	CDS	1464	tpl	4.1.99.2	COG3033	Tyrosine phenol-lyase
KAAOPJAA_00301	CDS	594				hypothetical protein
KAAOPJAA_00302	CDS	1023				hypothetical protein
KAAOPJAA_00303	CDS	2520	pheT_1	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
KAAOPJAA_00304	CDS	1026	pheS_1	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
KAAOPJAA_00305	CDS	1185	yycB_1		COG2807	putative transporter YycB
KAAOPJAA_00306	CDS	2040				hypothetical protein
KAAOPJAA_00307	CDS	1842	htpG_1		COG0326	Chaperone protein HtpG
KAAOPJAA_00308	CDS	810				hypothetical protein
KAAOPJAA_00309	CDS	1107	alr_1	5.1.1.1		Alanine racemase
KAAOPJAA_00310	CDS	444	cymR_1			HTH-type transcriptional regulator CymR
KAAOPJAA_00311	CDS	1287		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
KAAOPJAA_00312	CDS	930	cysK1_1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
KAAOPJAA_00313	CDS	615	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
KAAOPJAA_00314	CDS	816	thiM_1	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
KAAOPJAA_00315	CDS	486				hypothetical protein
KAAOPJAA_00316	tRNA	75				tRNA-Gln(ctg)
KAAOPJAA_00317	CDS	1482	exoI_1	3.2.1.52	COG3525	Beta-hexosaminidase
KAAOPJAA_00318	CDS	1584				hypothetical protein
KAAOPJAA_00319	CDS	1020	argK	3.6.5.-	COG1703	GTPase ArgK
KAAOPJAA_00320	CDS	477	rppH_1	3.6.1.-	COG0494	RNA pyrophosphohydrolase
KAAOPJAA_00321	CDS	1464				hypothetical protein
KAAOPJAA_00322	CDS	522				hypothetical protein
KAAOPJAA_00323	CDS	504	ruvC_1	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
KAAOPJAA_00324	CDS	1203	rhlE_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
KAAOPJAA_00325	CDS	702		3.-.-.-		putative protein
KAAOPJAA_00326	CDS	1032	pyrC_1	3.5.2.3	COG0418	Dihydroorotase
KAAOPJAA_00327	tRNA	78				tRNA-Asp(gtc)
KAAOPJAA_00328	CDS	471				hypothetical protein
KAAOPJAA_00329	CDS	1137	bepF_1			Efflux pump periplasmic linker BepF
KAAOPJAA_00330	CDS	3108	bepG			Efflux pump membrane transporter BepG
KAAOPJAA_00331	CDS	444	folA_1	1.5.1.3	COG0262	Dihydrofolate reductase
KAAOPJAA_00332	CDS	816	thyA_1	2.1.1.45	COG0207	Thymidylate synthase
KAAOPJAA_00333	CDS	1455	ywiE_1	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
KAAOPJAA_00334	CDS	1524	oadA_1	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
KAAOPJAA_00335	CDS	705				hypothetical protein
KAAOPJAA_00336	CDS	357				hypothetical protein
KAAOPJAA_00337	CDS	1377	norM_1		COG0534	Multidrug resistance protein NorM
KAAOPJAA_00338	CDS	1077	apbC_1		COG0489	Iron-sulfur cluster carrier protein
KAAOPJAA_00339	CDS	213				hypothetical protein
KAAOPJAA_00340	CDS	381				hypothetical protein
KAAOPJAA_00341	CDS	1635	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
KAAOPJAA_00342	CDS	2172	prlC_1	3.4.24.70	COG0339	Oligopeptidase A
KAAOPJAA_00343	CDS	1260	mdtA_1			Multidrug resistance protein MdtA
KAAOPJAA_00344	CDS	3216	bepE_1			Efflux pump membrane transporter BepE
KAAOPJAA_00345	CDS	1434	oprM_1		COG1538	Outer membrane protein OprM
KAAOPJAA_00346	CDS	756				hypothetical protein
KAAOPJAA_00347	CDS	3000				hypothetical protein
KAAOPJAA_00348	CDS	621				hypothetical protein
KAAOPJAA_00349	CDS	540				hypothetical protein
KAAOPJAA_00350	CDS	474				hypothetical protein
KAAOPJAA_00351	CDS	1791	clcB_1			Voltage-gated ClC-type chloride channel ClcB
KAAOPJAA_00352	CDS	1011				hypothetical protein
KAAOPJAA_00353	CDS	1356	gdhA_1	1.4.1.3		NAD(P)-specific glutamate dehydrogenase
KAAOPJAA_00354	CDS	414				hypothetical protein
KAAOPJAA_00355	CDS	1131	lpxB_1	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
KAAOPJAA_00356	CDS	675				hypothetical protein
KAAOPJAA_00357	CDS	516				hypothetical protein
KAAOPJAA_00358	CDS	345				hypothetical protein
KAAOPJAA_00359	CDS	372				hypothetical protein
KAAOPJAA_00360	CDS	504	dsbH	1.8.-.-	COG0526	Disulfide bond reductase DsbH
KAAOPJAA_00361	tRNA	75				tRNA-Val(gac)
KAAOPJAA_00362	CDS	882				hypothetical protein
KAAOPJAA_00363	CDS	282				hypothetical protein
KAAOPJAA_00364	CDS	1635				hypothetical protein
KAAOPJAA_00365	CDS	216				hypothetical protein
KAAOPJAA_00366	CDS	621				hypothetical protein
KAAOPJAA_00367	CDS	294				hypothetical protein
KAAOPJAA_00368	CDS	258				hypothetical protein
	repeat_region	1307				
KAAOPJAA_00369	CDS	291	cas2_1	3.1.-.-		CRISPR-associated endoribonuclease Cas2
KAAOPJAA_00370	CDS	1020	cas1_1	3.1.-.-		CRISPR-associated endonuclease Cas1
KAAOPJAA_00371	CDS	669				hypothetical protein
KAAOPJAA_00372	CDS	2472				hypothetical protein
KAAOPJAA_00373	CDS	696	cas5d_1	3.1.-.-		CRISPR pre-crRNA endoribonuclease Cas5d
KAAOPJAA_00374	CDS	1992				hypothetical protein
KAAOPJAA_00375	CDS	825				hypothetical protein
	repeat_region	485				
