locus_tag	ftype	length_bp	gene	EC_number	COG	product
CBKIEKNK_00050	CDS	1176	metK_1	2.5.1.6		S-adenosylmethionine synthase
CBKIEKNK_00051	CDS	831	nudC_1	3.6.1.22		NADH pyrophosphatase
CBKIEKNK_00052	CDS	462				hypothetical protein
CBKIEKNK_00053	CDS	393	spxA_1		COG1393	Regulatory protein Spx
CBKIEKNK_00054	CDS	324	yybR_1		COG1733	putative HTH-type transcriptional regulator YybR
CBKIEKNK_00055	CDS	519				hypothetical protein
CBKIEKNK_00056	CDS	351	ziaR_1			Transcriptional repressor SmtB 
CBKIEKNK_00057	CDS	222	cadA_1	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
CBKIEKNK_00058	CDS	1863	cadA_2	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
CBKIEKNK_00059	CDS	2277	copA_1	7.2.2.8		Copper-exporting P-type ATPase
CBKIEKNK_00060	CDS	213	copZ			Copper chaperone CopZ
CBKIEKNK_00061	CDS	264	csoR_1		COG1937	Copper-sensing transcriptional repressor CsoR
CBKIEKNK_00062	CDS	903	pchR		COG2207	Regulatory protein PchR
CBKIEKNK_00063	CDS	1362	mepA_1			Multidrug export protein MepA
CBKIEKNK_00064	CDS	216				hypothetical protein
CBKIEKNK_00065	CDS	2043	feoB_1		COG0370	Fe(2+) transporter FeoB
CBKIEKNK_00066	CDS	291	regX3_2		COG0745	Sensory transduction protein regX3
CBKIEKNK_00067	CDS	1716				hypothetical protein
CBKIEKNK_00068	CDS	354				hypothetical protein
CBKIEKNK_00069	CDS	780				hypothetical protein
CBKIEKNK_00070	CDS	981				hypothetical protein
CBKIEKNK_00071	CDS	1380				hypothetical protein
CBKIEKNK_00072	CDS	537				hypothetical protein
CBKIEKNK_00073	CDS	1530				hypothetical protein
CBKIEKNK_00074	CDS	405				hypothetical protein
CBKIEKNK_00075	CDS	444				hypothetical protein
CBKIEKNK_00076	CDS	870				hypothetical protein
CBKIEKNK_00077	CDS	1653				hypothetical protein
CBKIEKNK_00078	CDS	210				hypothetical protein
CBKIEKNK_00079	CDS	840				hypothetical protein
CBKIEKNK_00080	CDS	744				hypothetical protein
CBKIEKNK_00081	CDS	294				hypothetical protein
CBKIEKNK_00082	CDS	135				hypothetical protein
CBKIEKNK_00083	CDS	537				hypothetical protein
CBKIEKNK_00084	CDS	792				hypothetical protein
CBKIEKNK_00085	CDS	468				hypothetical protein
CBKIEKNK_00086	CDS	429				hypothetical protein
CBKIEKNK_00087	CDS	747				hypothetical protein
CBKIEKNK_00088	CDS	585				hypothetical protein
CBKIEKNK_00089	CDS	213				hypothetical protein
CBKIEKNK_00090	CDS	159				hypothetical protein
CBKIEKNK_00091	CDS	195				hypothetical protein
CBKIEKNK_00092	CDS	192				hypothetical protein
CBKIEKNK_00093	CDS	1500				hypothetical protein
CBKIEKNK_00094	CDS	228				hypothetical protein
CBKIEKNK_00095	CDS	282				hypothetical protein
CBKIEKNK_00096	CDS	1740				hypothetical protein
CBKIEKNK_00097	CDS	483				hypothetical protein
CBKIEKNK_00098	CDS	228				hypothetical protein
CBKIEKNK_00099	CDS	978				hypothetical protein
CBKIEKNK_00100	CDS	990	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
CBKIEKNK_00101	CDS	768				hypothetical protein
CBKIEKNK_00102	CDS	1023				hypothetical protein
CBKIEKNK_00103	CDS	501				hypothetical protein
CBKIEKNK_00104	CDS	1404	dosP	3.1.4.52	COG2199	Oxygen sensor protein DosP
CBKIEKNK_00105	CDS	2223				hypothetical protein
CBKIEKNK_00106	CDS	567				hypothetical protein
CBKIEKNK_00107	CDS	732				hypothetical protein
CBKIEKNK_00108	CDS	150				hypothetical protein
CBKIEKNK_00109	CDS	2250				hypothetical protein
CBKIEKNK_00110	CDS	699	bceA_2		COG1136	Bacitracin export ATP-binding protein BceA
CBKIEKNK_00111	CDS	618				hypothetical protein
CBKIEKNK_00112	CDS	930				hypothetical protein
CBKIEKNK_00113	CDS	381				hypothetical protein
CBKIEKNK_00114	CDS	597				hypothetical protein
CBKIEKNK_00115	CDS	231				hypothetical protein
CBKIEKNK_00116	CDS	528		3.1.4.-		Putative metallophosphoesterase MG207 
CBKIEKNK_00117	CDS	1311				hypothetical protein
CBKIEKNK_00118	CDS	183				hypothetical protein
CBKIEKNK_00119	CDS	927				hypothetical protein
CBKIEKNK_00120	CDS	1320				hypothetical protein
CBKIEKNK_00121	CDS	1923	leuC_1	4.2.1.33		3-isopropylmalate dehydratase large subunit
CBKIEKNK_00122	CDS	1335	gltA_1	2.3.3.16	COG0372	Citrate synthase
CBKIEKNK_00123	CDS	999	icd_1	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
CBKIEKNK_00124	CDS	1659				hypothetical protein
CBKIEKNK_00125	CDS	1248	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
CBKIEKNK_00126	CDS	795	proB_1	2.7.2.11		Glutamate 5-kinase
CBKIEKNK_00127	CDS	1944	htpG_1		COG0326	Chaperone protein HtpG
CBKIEKNK_00128	CDS	327				hypothetical protein
CBKIEKNK_00129	CDS	405				hypothetical protein
CBKIEKNK_00130	CDS	576				hypothetical protein
CBKIEKNK_00131	CDS	915	hpdA_1	1.97.1.-	COG1180	4-hydroxyphenylacetate decarboxylase activating enzyme
CBKIEKNK_00132	CDS	2382	pflD_1	4.2.1.172	COG1882	Trans-4-hydroxy-L-proline dehydratase
CBKIEKNK_00133	CDS	807	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
CBKIEKNK_00134	CDS	936				hypothetical protein
CBKIEKNK_00135	CDS	618				hypothetical protein
CBKIEKNK_00136	CDS	1362	rlmCD_1	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
CBKIEKNK_00137	CDS	417				hypothetical protein
CBKIEKNK_00138	CDS	231				hypothetical protein
CBKIEKNK_00139	CDS	306				hypothetical protein
CBKIEKNK_00140	CDS	189				hypothetical protein
CBKIEKNK_00141	CDS	645	gph_1	3.1.3.18		Phosphoglycolate phosphatase
CBKIEKNK_00142	CDS	702				hypothetical protein
CBKIEKNK_00143	CDS	717	deoD_1	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
CBKIEKNK_00144	CDS	1191	deoB_1	5.4.2.7	COG1015	Phosphopentomutase
CBKIEKNK_00145	CDS	255				hypothetical protein
CBKIEKNK_00146	CDS	2346	dinG_1	3.1.-.-		3'-5' exonuclease DinG
CBKIEKNK_00147	CDS	954	rluC_1	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
CBKIEKNK_00148	CDS	1257	gerN_1		COG0475	Na(+)/H(+)-K(+) antiporter GerN
CBKIEKNK_00149	CDS	312				hypothetical protein
CBKIEKNK_00150	CDS	1047	atpC_1			V-type ATP synthase subunit C
CBKIEKNK_00151	CDS	1923				hypothetical protein
CBKIEKNK_00152	CDS	444				hypothetical protein
CBKIEKNK_00153	CDS	309	atpF_1			V-type ATP synthase subunit F
CBKIEKNK_00154	CDS	597	atpE_1			V-type proton ATPase subunit E
CBKIEKNK_00155	CDS	1752	atpA_1	7.1.2.2	COG1155	V-type ATP synthase alpha chain
CBKIEKNK_00156	CDS	1443	ntpB_1			V-type sodium ATPase subunit B
CBKIEKNK_00157	CDS	639	ntpD_1			V-type sodium ATPase subunit D
CBKIEKNK_00158	CDS	360				hypothetical protein
CBKIEKNK_00159	tRNA	77				tRNA-Arg(acg)
CBKIEKNK_00160	tRNA	77				tRNA-Pro(tgg)
CBKIEKNK_00161	tRNA	77				tRNA-Met(cat)
CBKIEKNK_00162	tRNA	77				tRNA-Met(cat)
CBKIEKNK_00163	tRNA	91				tRNA-Ser(tga)
CBKIEKNK_00164	tRNA	77				tRNA-Met(cat)
CBKIEKNK_00165	tRNA	76				tRNA-Phe(gaa)
CBKIEKNK_00166	CDS	1107	xerC_2			Tyrosine recombinase XerC
CBKIEKNK_00167	CDS	624				hypothetical protein
CBKIEKNK_00168	CDS	279				hypothetical protein
CBKIEKNK_00169	CDS	477				hypothetical protein
CBKIEKNK_00170	CDS	810				hypothetical protein
CBKIEKNK_00171	CDS	441				hypothetical protein
CBKIEKNK_00172	CDS	408				hypothetical protein
CBKIEKNK_00173	CDS	498				hypothetical protein
CBKIEKNK_00174	CDS	195				hypothetical protein
CBKIEKNK_00175	CDS	624				hypothetical protein
CBKIEKNK_00176	CDS	213				hypothetical protein
CBKIEKNK_00177	CDS	561				hypothetical protein
CBKIEKNK_00178	CDS	273				hypothetical protein
CBKIEKNK_00179	CDS	195				hypothetical protein
CBKIEKNK_00180	CDS	126				hypothetical protein
CBKIEKNK_00181	CDS	681				hypothetical protein
CBKIEKNK_00182	CDS	177				hypothetical protein
CBKIEKNK_00183	CDS	459				hypothetical protein
CBKIEKNK_00184	CDS	1161				hypothetical protein
CBKIEKNK_00185	CDS	549				hypothetical protein
CBKIEKNK_00186	CDS	1944				hypothetical protein
CBKIEKNK_00187	CDS	2403				hypothetical protein
CBKIEKNK_00188	CDS	288				hypothetical protein
CBKIEKNK_00189	CDS	93				hypothetical protein
CBKIEKNK_00190	CDS	1209				hypothetical protein
CBKIEKNK_00191	CDS	189				hypothetical protein
CBKIEKNK_00192	CDS	153				hypothetical protein
CBKIEKNK_00193	CDS	447				hypothetical protein
CBKIEKNK_00194	CDS	465				hypothetical protein
CBKIEKNK_00195	CDS	234				hypothetical protein
CBKIEKNK_00196	CDS	711				hypothetical protein
CBKIEKNK_00197	CDS	1368				hypothetical protein
CBKIEKNK_00198	CDS	1392				hypothetical protein
CBKIEKNK_00199	CDS	1617				hypothetical protein
CBKIEKNK_00200	CDS	267				hypothetical protein
CBKIEKNK_00201	CDS	174				hypothetical protein
CBKIEKNK_00202	CDS	522				hypothetical protein
CBKIEKNK_00203	CDS	1197				hypothetical protein
CBKIEKNK_00204	CDS	390				hypothetical protein
CBKIEKNK_00205	CDS	363				hypothetical protein
CBKIEKNK_00206	CDS	417				hypothetical protein
CBKIEKNK_00207	CDS	462				hypothetical protein
CBKIEKNK_00208	CDS	543				hypothetical protein
CBKIEKNK_00209	CDS	465				hypothetical protein
CBKIEKNK_00210	CDS	582				hypothetical protein
CBKIEKNK_00211	CDS	2367				hypothetical protein
CBKIEKNK_00212	CDS	678				hypothetical protein
CBKIEKNK_00213	CDS	1710				hypothetical protein
CBKIEKNK_00214	CDS	642				hypothetical protein
CBKIEKNK_00215	CDS	630				hypothetical protein
CBKIEKNK_00216	CDS	432				hypothetical protein
CBKIEKNK_00217	CDS	126				hypothetical protein
CBKIEKNK_00218	CDS	456				hypothetical protein
CBKIEKNK_00219	CDS	921				hypothetical protein
CBKIEKNK_00220	CDS	375				hypothetical protein
CBKIEKNK_00221	CDS	519				hypothetical protein
CBKIEKNK_00222	CDS	123				hypothetical protein
CBKIEKNK_00223	CDS	504				hypothetical protein
CBKIEKNK_00224	CDS	171				hypothetical protein
CBKIEKNK_00225	CDS	1902				hypothetical protein
CBKIEKNK_00226	CDS	606				hypothetical protein
CBKIEKNK_00227	CDS	783				hypothetical protein
CBKIEKNK_00228	CDS	198				hypothetical protein
CBKIEKNK_00229	CDS	369	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
CBKIEKNK_00230	CDS	699	ytrB_1		COG1131	ABC transporter ATP-binding protein YtrB
CBKIEKNK_00231	CDS	1188	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
CBKIEKNK_00232	CDS	957				hypothetical protein
CBKIEKNK_00233	CDS	495				hypothetical protein
CBKIEKNK_00234	CDS	657				hypothetical protein
CBKIEKNK_00235	CDS	618	betI_1			HTH-type transcriptional regulator BetI
CBKIEKNK_00236	CDS	492				hypothetical protein
CBKIEKNK_00237	CDS	393				hypothetical protein
CBKIEKNK_00238	CDS	4347	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
CBKIEKNK_00239	CDS	1584	clcA_1			H(+)/Cl(-) exchange transporter ClcA
CBKIEKNK_00240	CDS	1035				hypothetical protein
CBKIEKNK_00241	CDS	432	mraZ_1			Transcriptional regulator MraZ
CBKIEKNK_00242	CDS	936	rsmH_1	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
CBKIEKNK_00243	CDS	318				hypothetical protein
CBKIEKNK_00244	CDS	2169	pbpB_1		COG0768	Penicillin-binding protein 2B
CBKIEKNK_00245	CDS	2169	pbpB_2		COG0768	Penicillin-binding protein 2B
CBKIEKNK_00246	CDS	669	graR_1		COG0745	Response regulator protein GraR
CBKIEKNK_00247	CDS	1008	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
CBKIEKNK_00248	CDS	750	bceA_3		COG1136	Bacitracin export ATP-binding protein BceA
CBKIEKNK_00249	CDS	1905	bceB_1		COG0577	Bacitracin export permease protein BceB
CBKIEKNK_00250	CDS	237				hypothetical protein
CBKIEKNK_00251	CDS	891				hypothetical protein
CBKIEKNK_00252	CDS	1920	spoVD_1		COG0768	Stage V sporulation protein D
CBKIEKNK_00253	CDS	1461	murE_1	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
CBKIEKNK_00254	CDS	963	mraY_1	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
CBKIEKNK_00255	CDS	1314	murD_1	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
CBKIEKNK_00256	CDS	873	uppP_1	3.6.1.27		Undecaprenyl-diphosphatase
CBKIEKNK_00257	CDS	453				hypothetical protein
CBKIEKNK_00258	CDS	486	bltD_1	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
CBKIEKNK_00259	CDS	714				hypothetical protein
CBKIEKNK_00260	CDS	987	trpS_1	6.1.1.2	COG0180	Tryptophan--tRNA ligase
CBKIEKNK_00261	CDS	432	spxA_2			Regulatory protein Spx
CBKIEKNK_00262	rRNA	1310				16S ribosomal RNA
CBKIEKNK_00263	rRNA	2903				23S ribosomal RNA
CBKIEKNK_00264	rRNA	68				5S ribosomal RNA (partial)
CBKIEKNK_00265	CDS	846				hypothetical protein
CBKIEKNK_00266	CDS	1506	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
CBKIEKNK_00267	CDS	609	yedK_1	3.4.-.-	COG2135	SOS response-associated protein YedK
CBKIEKNK_00268	CDS	726	ribX_1			Riboflavin transport system permease protein RibX
CBKIEKNK_00269	CDS	405	tmcA	2.3.1.193		tRNA(Met) cytidine acetyltransferase TmcA
CBKIEKNK_00270	CDS	615	fmnP_1		COG3601	Riboflavin transporter FmnP
CBKIEKNK_00271	CDS	393				hypothetical protein
CBKIEKNK_00272	CDS	1836	typA_1		COG1217	GTP-binding protein TypA/BipA
CBKIEKNK_00273	CDS	1314	pdaC_1	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaC
CBKIEKNK_00274	CDS	906				hypothetical protein
CBKIEKNK_00275	CDS	756				hypothetical protein
CBKIEKNK_00276	CDS	1233				hypothetical protein
CBKIEKNK_00277	CDS	1092				hypothetical protein
CBKIEKNK_00278	CDS	411				hypothetical protein
CBKIEKNK_00279	CDS	291				hypothetical protein
CBKIEKNK_00280	CDS	534	puuR_1			HTH-type transcriptional regulator PuuR
CBKIEKNK_00281	CDS	1578	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CBKIEKNK_00282	CDS	849	potH_1		COG1176	Putrescine transport system permease protein PotH
CBKIEKNK_00283	CDS	1896				hypothetical protein
CBKIEKNK_00284	CDS	1632				hypothetical protein
CBKIEKNK_00285	CDS	882	cysL_1		COG0583	HTH-type transcriptional regulator CysL
CBKIEKNK_00286	CDS	606				hypothetical protein
CBKIEKNK_00287	CDS	552	chrA_1			Chromate transport protein
CBKIEKNK_00288	CDS	1434	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
CBKIEKNK_00289	CDS	825				hypothetical protein
CBKIEKNK_00290	CDS	1380	murF_1	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CBKIEKNK_00291	CDS	1068	vanB_1	6.1.2.1	COG1181	Vancomycin B-type resistance protein VanB
CBKIEKNK_00292	CDS	1167	vanT_1	5.1.1.-	COG0787	Serine/alanine racemase
CBKIEKNK_00293	CDS	1047	vanT_2	5.1.1.-	COG0787	Serine/alanine racemase
CBKIEKNK_00294	CDS	1608				hypothetical protein
CBKIEKNK_00295	CDS	603				hypothetical protein
CBKIEKNK_00296	CDS	171				hypothetical protein
CBKIEKNK_00297	CDS	399				hypothetical protein
CBKIEKNK_00298	CDS	189				hypothetical protein
CBKIEKNK_00299	CDS	1275				hypothetical protein
CBKIEKNK_00300	CDS	468				hypothetical protein
CBKIEKNK_00301	CDS	837	hisJ			putative histidine-binding protein
CBKIEKNK_00302	CDS	783	yecS_1		COG0765	L-cystine transport system permease protein YecS
CBKIEKNK_00303	CDS	747	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
CBKIEKNK_00304	CDS	234				hypothetical protein
CBKIEKNK_00305	CDS	837	cysQ_1	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
CBKIEKNK_00306	CDS	507				hypothetical protein
CBKIEKNK_00307	CDS	1053	cpoA_1	2.4.1.-	COG0438	Alpha-galactosylglucosyldiacylglycerol synthase
CBKIEKNK_00308	CDS	1074				hypothetical protein
CBKIEKNK_00309	CDS	1980	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
CBKIEKNK_00310	CDS	954	yhaM_1	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
CBKIEKNK_00311	CDS	1878	licR_1		COG1762	putative licABCH operon regulator
CBKIEKNK_00312	CDS	1047	ypdE_1	3.4.11.-	COG1363	Aminopeptidase YpdE
CBKIEKNK_00313	CDS	324	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
CBKIEKNK_00314	CDS	333	licB_1	2.7.1.-	COG1440	Lichenan-specific phosphotransferase enzyme IIB component
CBKIEKNK_00315	CDS	1335	licC_1		COG1455	Lichenan permease IIC component
CBKIEKNK_00316	CDS	1080	ypdF_1	3.4.11.-	COG0006	Aminopeptidase YpdF
CBKIEKNK_00317	CDS	1185	patB_2	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
CBKIEKNK_00318	CDS	456				hypothetical protein
CBKIEKNK_00319	CDS	1032				hypothetical protein
CBKIEKNK_00320	CDS	465				hypothetical protein
CBKIEKNK_00321	CDS	441				hypothetical protein
CBKIEKNK_00322	CDS	1248				hypothetical protein
CBKIEKNK_00323	CDS	1302	rimO_1	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
CBKIEKNK_00324	CDS	489				hypothetical protein
CBKIEKNK_00325	CDS	504				hypothetical protein
CBKIEKNK_00326	CDS	1932				hypothetical protein
CBKIEKNK_00327	CDS	891				hypothetical protein
CBKIEKNK_00328	CDS	357	spo0A_1			Stage 0 sporulation protein A
CBKIEKNK_00329	tRNA	76				tRNA-Lys(ctt)
CBKIEKNK_00330	CDS	384				hypothetical protein
CBKIEKNK_00331	CDS	1287				hypothetical protein
CBKIEKNK_00332	CDS	561	infC_1			Translation initiation factor IF-3
CBKIEKNK_00333	CDS	195	rpmI_1		COG0291	50S ribosomal protein L35
CBKIEKNK_00334	CDS	363	rplT_1		COG0292	50S ribosomal protein L20
CBKIEKNK_00335	CDS	438				hypothetical protein
CBKIEKNK_00336	CDS	1308				hypothetical protein
CBKIEKNK_00337	CDS	1323	kbaZ_1		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ
CBKIEKNK_00338	CDS	900				hypothetical protein
CBKIEKNK_00339	CDS	375	dosC	2.7.7.65		Diguanylate cyclase DosC
CBKIEKNK_00340	CDS	882				hypothetical protein
CBKIEKNK_00341	CDS	381	dfx_1	1.15.1.2	COG2033	Desulfoferrodoxin
CBKIEKNK_00342	CDS	768	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
CBKIEKNK_00343	CDS	2346	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
CBKIEKNK_00344	CDS	945	csdA_1	1.97.1.-		4-hydroxyphenylacetate decarboxylase activating enzyme
CBKIEKNK_00345	CDS	678	fsaA_1	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
CBKIEKNK_00346	CDS	858	garR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
CBKIEKNK_00347	CDS	894	ylbJ_1		COG3314	Sporulation integral membrane protein YlbJ
CBKIEKNK_00348	CDS	1194	fieF_1			Ferrous-iron efflux pump FieF
CBKIEKNK_00349	CDS	1485				hypothetical protein
CBKIEKNK_00350	CDS	192				hypothetical protein
CBKIEKNK_00351	CDS	810				hypothetical protein
CBKIEKNK_00352	CDS	780	spo0A_2			Stage 0 sporulation protein A
CBKIEKNK_00353	CDS	762		1.10.3.-	COG1496	Polyphenol oxidase
CBKIEKNK_00354	CDS	1017	hrcA_1		COG1420	Heat-inducible transcription repressor HrcA
CBKIEKNK_00355	CDS	621	grpE_1			Protein GrpE
CBKIEKNK_00356	CDS	1815	dnaK_1		COG0443	Chaperone protein DnaK
CBKIEKNK_00357	CDS	1224				hypothetical protein
CBKIEKNK_00358	CDS	1116	dnaJ_1		COG0484	Chaperone protein DnaJ
CBKIEKNK_00359	CDS	225				hypothetical protein
CBKIEKNK_00360	CDS	747				IS200/IS605 family transposase ISBth14
CBKIEKNK_00361	CDS	2334				hypothetical protein
CBKIEKNK_00362	CDS	204	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
CBKIEKNK_00363	CDS	531	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
CBKIEKNK_00364	CDS	684	regX3_3		COG0745	Sensory transduction protein regX3
CBKIEKNK_00365	CDS	1230	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
CBKIEKNK_00366	CDS	372				hypothetical protein
CBKIEKNK_00367	CDS	273				hypothetical protein
CBKIEKNK_00368	CDS	387				hypothetical protein
CBKIEKNK_00369	CDS	921	gmuF_1	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
CBKIEKNK_00370	CDS	528				hypothetical protein
CBKIEKNK_00371	CDS	249				hypothetical protein
CBKIEKNK_00372	CDS	582				hypothetical protein
CBKIEKNK_00373	CDS	720	deoC2	4.1.2.4		Deoxyribose-phosphate aldolase 2
CBKIEKNK_00374	CDS	1695	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
CBKIEKNK_00375	CDS	1266	dmdA_1	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
CBKIEKNK_00376	CDS	495	DmdB_1	4.2.1.85		2,3-dimethylmalate dehydratase small subunit
CBKIEKNK_00377	CDS	1080	leuB_1	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
CBKIEKNK_00378	CDS	1152	hutI_1	3.5.2.7		Imidazolonepropionase
CBKIEKNK_00379	CDS	222				hypothetical protein
CBKIEKNK_00380	CDS	897	cmpR_1		COG0583	HTH-type transcriptional activator CmpR
CBKIEKNK_00381	CDS	576				hypothetical protein
CBKIEKNK_00382	CDS	573	chrA_2			Chromate transport protein
CBKIEKNK_00383	CDS	309				hypothetical protein
CBKIEKNK_00384	CDS	1365	cca_1	2.7.7.72		CCA-adding enzyme
CBKIEKNK_00385	CDS	585				hypothetical protein
CBKIEKNK_00386	CDS	642		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
CBKIEKNK_00387	CDS	2559	clpB_1		COG0542	Chaperone protein ClpB
CBKIEKNK_00388	CDS	213				hypothetical protein
CBKIEKNK_00389	CDS	105				hypothetical protein
CBKIEKNK_00390	CDS	939				hypothetical protein
CBKIEKNK_00391	CDS	330	mtlD_1	1.1.1.17		Mannitol-1-phosphate 5-dehydrogenase
CBKIEKNK_00392	CDS	777	yaaA_1		COG3022	Peroxide stress resistance protein YaaA
CBKIEKNK_00393	CDS	750	cutC_2		COG3142	Copper homeostasis protein CutC
CBKIEKNK_00394	CDS	264				hypothetical protein
CBKIEKNK_00395	CDS	837				hypothetical protein
CBKIEKNK_00396	CDS	597	dnaJ_2			Chaperone protein DnaJ
CBKIEKNK_00397	CDS	1611				hypothetical protein
CBKIEKNK_00398	CDS	237				hypothetical protein
CBKIEKNK_00399	CDS	1206	feoB_2		COG0370	Fe(2+) transporter FeoB
CBKIEKNK_00400	CDS	867	feoB_3		COG0370	Fe(2+) transporter FeoB
